ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/1/5,ZLW0HC7E,ST12000NM001G,1.20E+13,1,0.194444444,0.888888889,1,0,0.725,0.25,1,1,0.404761905,0,0
2,2021/1/9,ZLW0GQCF,ST12000NM001G,1.20E+13,1,0.527777778,0.222222222,1,0.000383142,0.15,0.25,0,1,0.238095238,0,0
3,2021/1/15,ZLW0GGTP,ST12000NM001G,1.20E+13,1,0.472222222,0.888888889,1,0,0.725,0.375,1,1,0.285714286,0,0
4,2021/1/15,ZLW0C6YV,ST12000NM001G,1.20E+13,1,0.555555556,0.888888889,1,0,0.525,0.25,1,1,0.333333333,0,0
5,2021/1/22,ZL214QHP,ST12000NM001G,1.20E+13,1,0.472222222,0.888888889,1,0,0.7,0.375,1,1,0.619047619,0,0
6,2021/1/30,ZLW0C710,ST12000NM001G,1.20E+13,1,0.5,0.777777778,1,0,0.725,0.125,1,1,0.69047619,0,0
7,2021/2/26,ZLW0GK8R,ST12000NM001G,1.20E+13,1,0.527777778,0.888888889,1,0.000383142,0.75,0.125,1,1,0.380952381,0,0
8,2021/2/27,ZLW0GHYL,ST12000NM001G,1.20E+13,1,0.527777778,0.888888889,1,0,0.725,0.25,1,1,0.738095238,0,0
9,2021/3/7,ZLW0G8NS,ST12000NM001G,1.20E+13,1,0.472222222,1,1,0,0.75,0.125,1,1,0.476190476,0,0
10,2021/4/18,ZLW0G6NW,ST12000NM001G,1.20E+13,1,0.603773585,0.555555556,1,0,0.75,0.363636364,0.828282828,1,0.414634146,0,0.060606061
11,2021/4/21,ZLW0GQTG,ST12000NM001G,1.20E+13,1,0.679245283,0.777777778,1,0,0.6,0.818181818,1,1,0.268292683,0,0
12,2021/4/23,ZLW0G8JJ,ST12000NM001G,1.20E+13,1,0.660377358,0.777777778,1,0,0.45,0.272727273,1,1,0.317073171,0,0
13,2021/4/26,ZLW0X7RQ,ST12000NM001G,1.20E+13,1,0.698113208,0.777777778,1,0,0.675,0.454545455,1,1,0.292682927,0,0
14,2021/5/1,ZLW0GR5H,ST12000NM001G,1.20E+13,1,0.679245283,0.777777778,1,0,0.675,0.545454545,1,1,0.170731707,0,0
15,2021/5/4,ZLW0G7M3,ST12000NM001G,1.20E+13,1,0.547169811,0.777777778,1,0,0.3,0.181818182,0.454545455,1,0.341463415,0,0
16,2021/5/13,ZLW0H2VX,ST12000NM001G,1.20E+13,1,0.094339623,0.888888889,1,0,0.325,1,0,1,0.195121951,0,0.03030303
17,2021/5/15,ZLW0G8Q8,ST12000NM001G,1.20E+13,1,0.471698113,0.555555556,1,0.024732914,0.575,0.181818182,0.949494949,1,0.341463415,0,0.090909091
18,2021/5/27,ZLW0W6ZN,ST12000NM001G,1.20E+13,1,0.641509434,0.444444444,1,0,0.35,1,1,1,0.170731707,0,0
19,2021/6/8,ZLW0GQ9T,ST12000NM001G,1.20E+13,1,0.641509434,0.888888889,1,0,0.625,0.090909091,1,1,0.195121951,0,0
20,2021/7/7,ZLW0G8LP,ST12000NM001G,1.20E+13,1,0.5,0.888888889,0,0.862150404,0.25,0.230769231,0,1,0.375,1,0
21,2021/7/8,ZLW0GPLV,ST12000NM001G,1.20E+13,1,0.517857143,0.777777778,1,0,0.675,0.153846154,1,1,0.225,1,0
22,2021/7/13,ZLW0CT9X,ST12000NM001G,1.20E+13,1,0.607142857,0.777777778,1,0.001740211,0.625,0.153846154,0.898989899,1,0.2,1,0.000154787
23,2021/7/14,ZLW0GP70,ST12000NM001G,1.20E+13,1,0.696428571,0.555555556,1,0,0.675,0.230769231,1,1,0.275,1,0.000851327
24,2021/7/16,ZLW0GQRL,ST12000NM001G,1.20E+13,1,0.678571429,0.555555556,1,0,0.675,0.230769231,1,1,0.6,1,0
25,2021/7/20,ZLW0H2XC,ST12000NM001G,1.20E+13,1,0.607142857,0.888888889,1,0,0.625,0.769230769,1,1,0.325,1,0
26,2021/7/24,ZLW0EFM8,ST12000NM001G,1.20E+13,1,0.392857143,0.555555556,1,0.000124301,0.625,0.153846154,0,1,0.35,1,0
27,2021/7/24,ZTN0A5T2,ST12000NM001G,1.20E+13,1,0.642857143,0.888888889,0.966666667,0.237538844,0.425,1,0.949494949,1,0.2,1,0
28,2021/7/27,ZLW0GP4Z,ST12000NM001G,1.20E+13,1,0.678571429,0.777777778,1,0.003604723,0.675,0.076923077,0.98989899,1,0.225,1,0.00046436
29,2021/7/29,ZLW0FVZ6,ST12000NM001G,1.20E+13,1,0.696428571,0.888888889,1,0,0.65,0.153846154,1,1,0.25,1,0
30,2021/7/31,ZLW0GQ75,ST12000NM001G,1.20E+13,1,0.5,0.444444444,1,0.012057178,0.675,0.153846154,0.797979798,1,0.475,1,0.000309574
