ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/1/15,ZR501221,ST18000NM000J,1.80E+13,1,0.138888889,0.6,0,0,0.457142857,0.8,0,1,0.448275862,0,0
2,2021/2/6,ZR501E13,ST18000NM000J,1.80E+13,1,0.444444444,0.5,0,0,0.628571429,0.4,0,1,0.379310345,0,0
3,2021/1/1,ZR501EAK,ST18000NM000J,1.80E+13,0,0.416666667,0.5,0,0,0.6,0.6,0,1,0.137931034,0,0
4,2021/1/1,ZR5011WL,ST18000NM000J,1.80E+13,0,0.527777778,0.5,0,0,0.6,0.6,0,1,0.172413793,0,0
5,2021/1/1,ZR5011WH,ST18000NM000J,1.80E+13,0,0.444444444,0.5,0,0,0.6,0.6,0,1,0.137931034,0,0
6,2021/2/6,ZR501145,ST18000NM000J,1.80E+13,0,0.527777778,0.1,0,0,0.657142857,0.4,0,1,0.137931034,0,0
7,2021/2/6,ZR501143,ST18000NM000J,1.80E+13,0,0.25,0.1,0,0,0.628571429,0.4,0,1,0.275862069,0,0
8,2021/2/6,ZR50114L,ST18000NM000J,1.80E+13,0,0.444444444,0.7,0,0,0.514285714,0.8,0,1,0.379310345,0,0
9,2021/2/6,ZR5011RZ,ST18000NM000J,1.80E+13,0,0.5,0.1,0,0,0.657142857,0.4,0,1,0.137931034,0,0
10,2021/2/27,ZR50123Y,ST18000NM000J,1.80E+13,0,0.555555556,0.1,0,0,0.657142857,0.2,0,1,0.137931034,0,0
11,2021/2/27,ZR50137B,ST18000NM000J,1.80E+13,0,0.472222222,0.1,0,0,0.657142857,0.2,0,1,0.310344828,0,0
12,2021/2/27,ZR5011E8,ST18000NM000J,1.80E+13,0,0.444444444,0.4,0,0,0.657142857,0.2,0,1,0.24137931,0,0
13,2021/2/27,ZR5012MB,ST18000NM000J,1.80E+13,0,0.416666667,0.1,0,0,0.657142857,0.2,0,1,0.517241379,0,0
14,2021/2/27,ZR50115B,ST18000NM000J,1.80E+13,0,0.5,0.1,0,0,0.657142857,0.2,0,1,0.517241379,0,0
15,2021/3/9,ZR5011ZG,ST18000NM000J,1.80E+13,0,0.388888889,0.1,0,0,0.657142857,0.2,0,1,0.689655172,0,0
16,2021/3/9,ZR5011JV,ST18000NM000J,1.80E+13,0,0.444444444,0.1,0,0,0.685714286,0.2,0,1,0.620689655,0,0
17,2021/3/9,ZR5011J8,ST18000NM000J,1.80E+13,0,1,0.1,0,0,0.685714286,0.2,0,1,0.24137931,0,0
18,2021/3/9,ZR5012HT,ST18000NM000J,1.80E+13,0,0.555555556,0.2,0,0,0.657142857,0.2,0,1,0.75862069,0,0
19,2021/3/9,ZR5012H4,ST18000NM000J,1.80E+13,0,0.5,0.1,0,0,0.657142857,0.2,0,1,0.620689655,0,0
20,2021/3/21,ZR50116K,ST18000NM000J,1.80E+13,0,0.416666667,0.2,0,0,0.685714286,0,0,1,0.344827586,0,0
21,2021/3/21,ZR5012AV,ST18000NM000J,1.80E+13,0,0.527777778,0.1,0,0,0.685714286,0,0,1,0.551724138,0,0
22,2021/3/21,ZR501E1B,ST18000NM000J,1.80E+13,0,0.333333333,0.2,0,0,0.685714286,0,0,1,0.310344828,0,0
