ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/1/1,ZJV4MDYR,ST12000NM0007,1.20E+13,1,0.6875,0.65,0.919191919,0.505188622,0.933333333,0.657142857,0.121212121,1,0.435897436,1,0
2,2021/1/4,ZCH07WP7,ST12000NM0007,1.20E+13,1,0.671875,0.55,0.97979798,0.13998596,0.166666667,0.085714286,0,1,0.128205128,1,0
3,2021/1/4,ZCH0DG4W,ST12000NM0007,1.20E+13,1,0.671875,0.6,0.747474747,0.53534367,0.933333333,0.171428571,0,1,0.282051282,1,0
4,2021/1/5,ZJV4LWRR,ST12000NM0007,1.20E+13,1,0.734375,0.95,1,0.004639238,0.966666667,0.657142857,0.868686869,1,0.538461538,1,0
5,2021/1/6,ZCH07HR7,ST12000NM0007,1.20E+13,1,0.5625,0.5,0.96969697,0.195336345,0.9,0.142857143,0.464646465,1,0.358974359,0.96875,0.036282306
6,2021/1/9,ZCH09KEF,ST12000NM0007,1.20E+13,1,0.65625,0.5,1,0,0.966666667,0.171428571,1,1,0.282051282,1,0
7,2021/1/10,ZJV2ECV0,ST12000NM0007,1.20E+13,1,0.5625,0.5,1,0.004639238,0.866666667,0.428571429,1,1,0.615384615,1,0.000994036
8,2021/1/11,ZJV0WGDG,ST12000NM0007,1.20E+13,1,0.5625,0.75,0.868686869,0.563148578,0.533333333,0.285714286,0.848484848,1,0.076923077,1,0
9,2021/1/11,ZJV46Y0C,ST12000NM0007,1.20E+13,1,0.71875,0.85,0.97979798,0.143572213,0.966666667,0.628571429,0.868686869,1,0.230769231,1,0
10,2021/1/12,ZJV3CSA2,ST12000NM0007,1.20E+13,1,0.703125,0.95,0.949494949,0.31717739,0.966666667,0.628571429,0.949494949,1,0.435897436,1,0
11,2021/1/17,ZJV3CMTH,ST12000NM0007,1.20E+13,1,0.59375,0.75,0.97979798,0.140031742,1,0.628571429,0.909090909,1,0.358974359,1,0
12,2021/1/19,ZCH0BNMV,ST12000NM0007,1.20E+13,1,0.515625,0.85,0.858585859,0.865584178,0.833333333,0.228571429,0,1,0.41025641,0.96875,0.037276342
13,2021/1/20,ZJV2E8S1,ST12000NM0007,1.20E+13,1,0.71875,0.5,1,0,0.966666667,0.657142857,1,1,0.230769231,1,0.000497018
14,2021/1/20,ZCH0D1F4,ST12000NM0007,1.20E+13,1,0.4375,0.5,0.949494949,0.331583445,0.8,0.2,0,1,0.282051282,0.96875,0.053677932
15,2021/1/20,ZJV1HMB5,ST12000NM0007,1.20E+13,1,0.734375,0.85,1,0.000122085,0.9,0.428571429,1,1,0.102564103,1,0
16,2021/1/21,ZJV005J2,ST12000NM0007,1.20E+13,1,0.484375,0.5,1,0.004639238,0.766666667,0.2,0.262626263,1,0.41025641,1,0
17,2021/1/24,ZCH059KN,ST12000NM0007,1.20E+13,1,0.734375,0.5,1,0,1,0.085714286,1,1,0.205128205,1,0
18,2021/1/27,ZCH0AJ5G,ST12000NM0007,1.20E+13,1,0.625,0.5,0.757575758,0.502991088,0.966666667,0.371428571,0,1,0.230769231,1,0
19,2021/1/28,ZCH06TNJ,ST12000NM0007,1.20E+13,1,0.625,0.5,1,0.024661214,0.4,0.085714286,0,1,0.282051282,1,0.000497018
