ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/2/1,ZDEB33AN,ST500LM030,5.00E+11,1,0.472222222,1,1,0,0.833333333,0.2,1,0,0.214285714,0,0
2,2021/3/23,ZDECDL24,ST500LM030,5.00E+11,1,0.166666667,0,1,0,0.7,0.266666667,1,0,0.678571429,0,0
3,2021/4/14,ZDECQQ39,ST500LM030,5.00E+11,1,0.540540541,0,1,0,0.833333333,0.285714286,1,0,0.535714286,0,0
4,2021/4/22,ZDEE0HYZ,ST500LM030,5.00E+11,1,0.243243243,0,1,0,0.6,0.5,1,0,0.5,0,0
5,2021/4/23,ZDEB33GD,ST500LM030,5.00E+11,1,0.513513514,0,1,0,0.766666667,0.285714286,1,0,0.214285714,0,0
6,2021/4/26,ZDEB1E6P,ST500LM030,5.00E+11,1,0.540540541,0,0,1,0.933333333,0.142857143,0,0,0.428571429,0,1
7,2021/6/28,ZDED57CM,ST500LM030,5.00E+11,1,0.540540541,1,1,0,0.8,0.5,1,0,0.285714286,0,0
8,2021/7/26,ZDEBF06Z,ST500LM030,5.00E+11,1,0.527777778,0,0,0,0.7,0.6,1,0,0.64,0,0
9,2021/9/23,ZDEDWY0N,ST500LM030,5.00E+11,1,0.527777778,0,0,0,0.766666667,0.4,1,0,0.72,0,0
10,2021/10/23,ZDEB352H,ST500LM030,5.00E+11,1,0.472222222,0,0,0,0.866666667,0.121212121,0,0,0.318181818,0,1
11,2021/10/31,ZGS01GRN,ST500LM030,5.00E+11,1,0.333333333,0,0,0,0.966666667,0.212121212,1,0,0.363636364,0,0
12,2021/11/2,ZDED5MHE,ST500LM030,5.00E+11,1,0.527777778,0,0,0,0.233333333,0.181818182,1,0,0.409090909,0,0
13,2021/11/27,ZDEC96YX,ST500LM030,5.00E+11,1,0.472222222,0,0,0,0.9,0.121212121,1,0,0.772727273,0,0
14,2021/12/4,ZDEB2GBH,ST500LM030,5.00E+11,1,0.333333333,0,0,0,0.833333333,0.181818182,1,0,0.272727273,0,0
15,2021/12/21,ZDEC0ZEH,ST500LM030,5.00E+11,1,0.416666667,0,0,0,0.966666667,0.090909091,1,0,0.409090909,0,0
16,2021/12/29,ZDEC95Z8,ST500LM030,5.00E+11,1,0.527777778,0,0,0,0.866666667,0.151515152,1,0,0.545454545,0,0
17,2021/1/1,ZDEC8YXB,ST500LM030,5.00E+11,0,0.25,0,1,0,1,0.4,1,0,0.464285714,0,0
18,2021/1/1,ZDEB00PF,ST500LM030,5.00E+11,0,0.5,0,1,0,0.966666667,0.533333333,1,0,0.25,0,0
19,2021/1/1,ZDECDL8B,ST500LM030,5.00E+11,0,0.527777778,0,1,0,0.666666667,0.4,1,0,0.642857143,0,0
20,2021/1/1,ZDEB33KW,ST500LM030,5.00E+11,0,0.444444444,0,1,0,0.966666667,0.266666667,1,0,0.321428571,0,0
21,2021/1/1,ZDEABC82,ST500LM030,5.00E+11,0,0.555555556,0,1,0,0.666666667,0.333333333,1,0,0.178571429,0,0
22,2021/1/1,ZDEABHJN,ST500LM030,5.00E+11,0,0.527777778,1,1,0,0.966666667,0.466666667,1,0,0.464285714,0,0
23,2021/1/1,ZDECQ8G6,ST500LM030,5.00E+11,0,0.444444444,1,1,0,0.966666667,0.333333333,1,0,0.714285714,0,0
24,2021/1/1,ZGS01GZD,ST500LM030,5.00E+11,0,0.555555556,1,1,0,0.966666667,1,1,0,0.357142857,0,0
25,2021/1/1,ZDECDKP4,ST500LM030,5.00E+11,0,0.472222222,1,1,0,0.966666667,0.466666667,1,0,0.25,0,0
