ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/1/4,ZA214BT1,ST10000NM0086,1.00008E+13,1,0.416666667,0.625,1,0.020439744,0.578947368,0.085714286,0.414141414,0.919191919,0.4,0,0.105263158
2,2021/1/4,ZA21861K,ST10000NM0086,1.00008E+13,1,0.527777778,0.625,1,0,0.631578947,0.085714286,1,0.737373737,0.15,0,0
3,2021/1/6,ZA21A5Y8,ST10000NM0086,1.00008E+13,1,0.527777778,0.375,1,0,0.631578947,0.057142857,1,0.818181818,0.4,0,0
4,2021/2/6,ZA215MMW,ST10000NM0086,1.00008E+13,1,0.472222222,0.25,0.958333333,0.160065979,0.684210526,0.057142857,0.898989899,0.818181818,0.9,0,0.105263158
5,2021/2/13,ZA2194YC,ST10000NM0086,1.00008E+13,1,0.5,0,1,0.002856803,0.657894737,0.028571429,1,0.848484848,0.4,0,0.157894737
6,2021/3/2,ZA21BZVE,ST10000NM0086,1.00008E+13,1,0.444444444,0,0.979166667,0.1085415,0.657894737,0.028571429,0.555555556,0,0.4,0,0.421052632
7,2021/4/25,ZA21DWH8,ST10000NM0086,1.00008E+13,1,0.444444444,0,0.921568627,0.239823915,0.725,0.052631579,0.838383838,0.96969697,0.523809524,0,1
8,2021/6/3,ZA2191QH,ST10000NM0086,1.00008E+13,1,0.25,0,0.294117647,0.165385262,0.475,0.026315789,0.101010101,0.98989899,0.476190476,1,0
9,2021/6/26,ZA21A5JL,ST10000NM0086,1.00008E+13,1,0.361111111,0.25,0.980392157,0.067957752,0.325,0.026315789,0.525252525,0,0.571428571,1,0.003691172
10,2021/7/3,ZA215MY5,ST10000NM0086,1.00008E+13,1,0.297297297,0.125,0.826923077,0.59126226,0.583333333,0.075,0.535353535,0.707070707,0.142857143,0,1
11,2021/8/13,ZA21BZRR,ST10000NM0086,1.00008E+13,1,0.27027027,0,1,0.015141383,0.694444444,0.025,0.484848485,0.868686869,0.428571429,0,0.196721311
12,2021/8/20,ZA21AE43,ST10000NM0086,1.00008E+13,1,0.324324324,0.125,1,0.034024328,0.694444444,0.025,0,0.939393939,0.428571429,0,0.295081967
13,2021/8/20,ZA21DT1T,ST10000NM0086,1.00008E+13,1,0.432432432,0.125,1,0.004712775,0.75,0.025,0.171717172,0.96969697,0.476190476,0,0.327868852
14,2021/8/26,ZA21FC2R,ST10000NM0086,1.00008E+13,1,0.135135135,0,1,0.024487326,0.722222222,0.025,0,0.858585859,0.333333333,0,0.672131148
15,2021/8/26,ZA210ET8,ST10000NM0086,1.00008E+13,1,0.540540541,0,0.807692308,0.641192205,0.75,0.025,0,0.878787879,0.285714286,0,0.295081967
16,2021/8/27,ZA21AW3H,ST10000NM0086,1.00008E+13,1,0.432432432,0.125,0.769230769,0.803273468,0.722222222,0.025,0.919191919,0.919191919,0.476190476,0,0.360655738
17,2021/9/18,ZA21AE7L,ST10000NM0086,1.00008E+13,1,0.216216216,0,0.923076923,0.306266718,0.777777778,0,0,0.515151515,0.619047619,0,0.344262295
18,2021/9/25,ZA21AE5L,ST10000NM0086,1.00008E+13,1,0.513513514,0,0.769230769,0.704910203,0.777777778,0,0,0.252525253,0.523809524,0,0.114754098
19,2021/10/2,ZA213GMZ,ST10000NM0086,1.00008E+13,1,0.277777778,0.25,1,0.033271182,0.675,0.069767442,0.262626263,0.858585859,0.19047619,1,0.007760962
20,2021/10/18,ZA21DX2J,ST10000NM0086,1.00008E+13,1,0.527777778,0,0.724137931,0.004646045,0.725,0.069767442,0.545454545,0.818181818,0.285714286,1,0.000776096
21,2021/10/20,ZA21A5DM,ST10000NM0086,1.00008E+13,1,0.361111111,0,1,0.02567551,0.7,0.069767442,0.96969697,0.818181818,0.428571429,1,0
22,2021/10/23,ZA21A5TT,ST10000NM0086,1.00008E+13,1,0.527777778,0.25,1,0.001344908,0.725,0.069767442,1,0.515151515,0.285714286,1,0.000388048
23,2021/10/25,ZA20XV78,ST10000NM0086,1.00008E+13,1,0.5,0.125,1,0.003912459,0.725,0.046511628,0.838383838,0.96969697,0.285714286,1,0.002716337
24,2021/11/3,ZA21AJR0,ST10000NM0086,1.00008E+13,1,0.194444444,0.125,0.879310345,0.437217264,0.75,0.046511628,0.585858586,0.696969697,0.428571429,1,0
25,2021/12/4,ZA21AEAS,ST10000NM0086,1.00008E+13,1,0.5,0.125,0.931034483,0.233035823,0.5,0.023255814,0.636363636,0.181818182,0.476190476,0,1
26,2021/12/20,ZA219SQA,ST10000NM0086,1.00008E+13,1,0.361111111,0,0.896551724,0.406773444,0.75,0.023255814,0.575757576,0.828282828,0.428571429,0.634146341,0.374078386
27,2021/12/24,ZA21AE97,ST10000NM0086,1.00008E+13,1,0.472222222,0,1,0.003056608,0.55,0.023255814,0.696969697,0.97979798,0.571428571,1,0.001164144
28,2021/1/1,ZA217EDX,ST10000NM0086,1.00008E+13,0,0.305555556,0.25,1,0,0.605263158,0.085714286,1,0.96969697,0.2,0,0
29,2021/1/1,ZA211GM5,ST10000NM0086,1.00008E+13,0,0.388888889,0.25,1,0,0.605263158,0.085714286,1,0.96969697,0.35,0,0
30,2021/1/1,ZA21670W,ST10000NM0086,1.00008E+13,0,0.472222222,0,1,0,0.631578947,0.085714286,1,0.939393939,0.5,0,0
31,2021/1/1,ZA219RMQ,ST10000NM0086,1.00008E+13,0,0.055555556,0,1,0,0.578947368,0.085714286,1,0.929292929,0.35,0,0
32,2021/1/1,ZA21GW7X,ST10000NM0086,1.00008E+13,0,0.5,0.125,1,0,0.605263158,0.914285714,1,0.929292929,0.25,0,0
33,2021/1/1,ZA21EKNA,ST10000NM0086,1.00008E+13,0,0.5,0,1,0,0.578947368,0.085714286,1,0.626262626,0.4,0,0
34,2021/1/1,ZA21EKNR,ST10000NM0086,1.00008E+13,0,0.555555556,0.375,1,0.005169453,0.578947368,0.085714286,0.939393939,0.434343434,0.05,0,0
35,2021/1/1,ZA216BYC,ST10000NM0086,1.00008E+13,0,0.472222222,0.625,1,0.015712415,0.605263158,0.085714286,1,0.858585859,0.1,0,0
36,2021/1/1,ZA21ADVC,ST10000NM0086,1.00008E+13,0,0.5,0,1,0.009777748,0.631578947,0.085714286,0.929292929,0.898989899,0.4,0,0.026315789
37,2021/1/1,ZA2166VL,ST10000NM0086,1.00008E+13,0,0.444444444,0,1,0.000136038,0.605263158,0.085714286,1,0.95959596,0.7,0,0
38,2021/1/1,ZA21AE36,ST10000NM0086,1.00008E+13,0,0.527777778,0.125,1,0.003179894,0.578947368,0.085714286,1,0.909090909,0.45,0,0
39,2021/1/1,ZA21AE35,ST10000NM0086,1.00008E+13,0,0.527777778,0,1,0,0.605263158,0.085714286,1,0.757575758,0.4,0,0
40,2021/1/1,ZA21AE3E,ST10000NM0086,1.00008E+13,0,0.472222222,0,1,0,0.657894737,0.085714286,1,0.777777778,0.15,0,0
41,2021/1/1,ZA219WVF,ST10000NM0086,1.00008E+13,0,0.361111111,0.625,1,0,0.552631579,0.085714286,1,0.898989899,0.45,0,0
42,2021/1/1,ZA250SNX,ST10000NM0086,1.00008E+13,0,0.416666667,0.25,1,0,0.710526316,0.828571429,1,0.909090909,0.25,0,0
43,2021/1/1,ZA21DPX5,ST10000NM0086,1.00008E+13,0,0.083333333,0.375,1,0,0.552631579,0.085714286,1,0.484848485,0.4,0,0
44,2021/1/1,ZA22P33L,ST10000NM0086,1.00008E+13,0,0.444444444,0.25,1,0,0.842105263,0.457142857,1,0.97979798,0.3,0,0
45,2021/1/1,ZA21CZ1Q,ST10000NM0086,1.00008E+13,0,0.555555556,0.125,1,0,0.578947368,0.085714286,1,0.868686869,0.25,0,0
46,2021/1/1,ZA21AJJ7,ST10000NM0086,1.00008E+13,0,0.388888889,0.375,1,0,0.605263158,0.085714286,1,0.98989899,0.4,0,0
47,2021/1/1,ZA21AJJD,ST10000NM0086,1.00008E+13,0,0.555555556,0.25,1,0.005305491,0.578947368,0.085714286,1,0.949494949,0.45,0,0
48,2021/1/1,ZA21AJJH,ST10000NM0086,1.00008E+13,0,0.527777778,0,1,0.000136038,0.578947368,0.085714286,1,0.585858586,0.55,0,0
49,2021/1/1,ZA21AJJS,ST10000NM0086,1.00008E+13,0,0.305555556,0,1,0.001360382,0.605263158,0.085714286,1,0.97979798,0.5,0,0
50,2021/1/1,ZA21DWVV,ST10000NM0086,1.00008E+13,0,0.472222222,0,1,0.050334144,0.578947368,0.085714286,1,0.797979798,0.15,0,0
51,2021/1/1,ZA217TFB,ST10000NM0086,1.00008E+13,0,0.194444444,0.25,1,0,0.631578947,0.085714286,1,1,0.85,0,0
52,2021/1/1,ZA21A817,ST10000NM0086,1.00008E+13,0,0.527777778,0,1,0,0.605263158,0.085714286,1,0.98989899,0.35,0,0
53,2021/1/1,ZA21E1XX,ST10000NM0086,1.00008E+13,0,0.444444444,0.375,1,0,0.578947368,0.085714286,1,0.878787879,0.4,0,0
54,2021/1/1,ZA21C0EV,ST10000NM0086,1.00008E+13,0,0.444444444,0.25,1,0.000136038,0.605263158,0.085714286,0.96969697,0.787878788,0.6,0,0
