ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/1/7,ZA13QBWA,ST8000DM002,8.00E+12,1,0.153846154,0.25,0.666666667,0.379886831,0.5,0.173913043,0.737373737,0,0.35,0,0
2,2021/1/12,ZA11V1XK,ST8000DM002,8.00E+12,1,0.519230769,0.3125,1,0.001028807,0.444444444,0.086956522,0.454545455,0,0.05,0,0.03030303
3,2021/1/14,ZA11X0B7,ST8000DM002,8.00E+12,1,0.461538462,0.0625,0.888888889,0.181455761,0.916666667,0.108695652,0.575757576,0,0.525,0,0
4,2021/1/15,ZA1261TF,ST8000DM002,8.00E+12,1,0.673076923,0.5625,1,0.000128601,0.888888889,0.152173913,1,0,0.425,0,0
5,2021/1/18,ZA10ASB2,ST8000DM002,8.00E+12,1,0.653846154,0.4375,1,0,1,0.086956522,1,0,0.25,0,0
6,2021/1/20,ZA11WHPT,ST8000DM002,8.00E+12,1,0.596153846,0.0625,1,0.000514403,0.722222222,0.086956522,0.555555556,0,0.475,0,0.121212121
7,2021/1/26,ZA13YPT6,ST8000DM002,8.00E+12,1,0.673076923,0.125,1,0.000900206,0.75,0.195652174,0.939393939,0,0.3,0,0.090909091
8,2021/1/29,ZA12EQTM,ST8000DM002,8.00E+12,1,0.673076923,0.0625,1,0,0.833333333,0.130434783,1,0,0.6,0,0
9,2021/2/1,ZA12680X,ST8000DM002,8.00E+12,1,0.480769231,0.25,1,0.002700617,0.888888889,0.086956522,0.96969697,0,0.475,0,0.03030303
10,2021/2/4,ZA12KZ38,ST8000DM002,8.00E+12,1,0.538461538,0.0625,0.666666667,0.409850823,0.694444444,0.086956522,0.545454545,0,0.55,0,0
11,2021/2/4,ZA11MY1N,ST8000DM002,8.00E+12,1,0.673076923,0.125,1,0,0.888888889,0.086956522,1,0,0.3,0,0
12,2021/2/4,ZA12KEF9,ST8000DM002,8.00E+12,1,0.288461538,0.0625,1,0.03587963,0.833333333,0.086956522,0.939393939,0,0.55,0,0.03030303
13,2021/2/4,ZA1257QC,ST8000DM002,8.00E+12,1,0.692307692,0.5625,1,0.000514403,1,0.086956522,0.96969697,0,0.425,0,0.03030303
14,2021/2/4,ZA13RHG2,ST8000DM002,8.00E+12,1,0.653846154,0.125,1,0.003729424,0.972222222,0.173913043,0.858585859,0,0.3,0,0.242424242
15,2021/2/7,ZA13ZL0Z,ST8000DM002,8.00E+12,1,0.5,0.0625,1,0.002202289,0.805555556,0.195652174,1,0,0.4,0,0
16,2021/2/15,ZA12ARZ2,ST8000DM002,8.00E+12,1,0.038461538,0.0625,0.777777778,0.299768519,0.5,0.086956522,0.777777778,0,0.55,0,0
17,2021/2/17,ZA11WLX1,ST8000DM002,8.00E+12,1,0.461538462,0.0625,0.833333333,0.240531764,0.944444444,0.086956522,0.03030303,0,0.475,0,0
18,2021/2/25,ZA12KEDD,ST8000DM002,8.00E+12,1,0.538461538,0.0625,1,0.000385802,1,0.086956522,0.96969697,0,0.575,0,0
19,2021/3/1,ZA1278CT,ST8000DM002,8.00E+12,1,0.538461538,0.0625,1,0.041039738,0.666666667,0.173913043,0.767676768,0,0.325,0,0.181818182
20,2021/3/12,ZA12P8D2,ST8000DM002,8.00E+12,1,0.442307692,0.1875,1,0.000900206,0.916666667,0.108695652,1,0,0.625,0,0
21,2021/3/17,ZA1261VR,ST8000DM002,8.00E+12,1,0.134615385,0.5625,0.944444444,0.0781893,0.805555556,0.043478261,0.414141414,0,0.125,0,0.333333333
22,2021/3/18,ZA13R4KP,ST8000DM002,8.00E+12,1,0.596153846,0.0625,1,0.000771605,0.611111111,0.173913043,1,0,0.25,0,0
23,2021/3/19,ZA143E4V,ST8000DM002,8.00E+12,1,0.019230769,0.3125,0.777777778,0.309542181,0.888888889,0.130434783,0.505050505,0,0.025,0,0
24,2021/3/21,ZA11P178,ST8000DM002,8.00E+12,1,0.076923077,0.0625,0.888888889,0.168595679,0.805555556,0.065217391,0.949494949,0,0.35,0,0
25,2021/3/27,ZA12KYYB,ST8000DM002,8.00E+12,1,0.615384615,0.0625,1,0.001671811,0.638888889,0.065217391,1,0,0.525,0,0
26,2021/3/29,ZA1245VG,ST8000DM002,8.00E+12,1,0.461538462,0.0625,1,0.04851466,1,0.043478261,0.606060606,0,0.525,0,0.03030303
27,2021/4/1,ZA12RBBM,ST8000DM002,8.00E+12,1,0.245283019,0.1875,0.769230769,0.564728872,0.746478873,0.098039216,0,0,0.261904762,1,0.117216117
28,2021/4/3,ZA10CBP7,ST8000DM002,8.00E+12,1,0.603773585,0.0625,1,0.00024426,0.943661972,0.058823529,1,0,0.095238095,1,0
29,2021/4/8,ZA13Z8E2,ST8000DM002,8.00E+12,1,0.622641509,0.0625,1,0,0.845070423,0.176470588,1,0,0.261904762,1,0
30,2021/4/11,ZA11PY9F,ST8000DM002,8.00E+12,1,0.641509434,0.0625,1,0.00109917,0.85915493,0.078431373,1,0,0.380952381,1,0
31,2021/4/16,ZA13KB6X,ST8000DM002,8.00E+12,1,0.679245283,0.1875,1,0,0.845070423,0.156862745,0.96969697,0,0.285714286,1,0.003663004
32,2021/4/22,ZA11X9W4,ST8000DM002,8.00E+12,1,0.264150943,0.4375,0.743589744,0.656814851,0.873239437,0.078431373,0,0,0.452380952,1,0
33,2021/4/23,ZA13YP3F,ST8000DM002,8.00E+12,1,0.509433962,0.0625,1,0.015999023,0.690140845,0.176470588,0.95959596,0,0.380952381,1,0.003663004
34,2021/4/26,ZA10LSEL,ST8000DM002,8.00E+12,1,0.566037736,0.6875,0.897435897,0.244504152,0.845070423,0.058823529,0,0,0.476190476,1,0.098901099
35,2021/4/29,ZA11PM6N,ST8000DM002,8.00E+12,1,0.113207547,0.0625,0.846153846,0.397166585,0.788732394,0.078431373,0,0,0.380952381,1,0.003663004
36,2021/5/10,ZA11X0DV,ST8000DM002,8.00E+12,1,0.226415094,0.0625,1,0.033952125,0.718309859,0.058823529,0.848484848,0,0.666666667,1,0
37,2021/5/15,ZA10F2WX,ST8000DM002,8.00E+12,1,0.566037736,0.3125,1,0.00061065,0.774647887,0.058823529,1,0,0.166666667,1,0
38,2021/5/17,ZA143CY0,ST8000DM002,8.00E+12,1,0.245283019,0.0625,0.948717949,0.179653151,0.901408451,0.117647059,0.686868687,0,0.404761905,1,0
39,2021/5/17,ZA13Z602,ST8000DM002,8.00E+12,1,0.58490566,0.0625,1,0,0.873239437,0.137254902,1,0,0.380952381,1,0
